web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707725-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Costume Enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-766149","Costume Enfant","20 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_766149_uploaded_image1_1563699401.63.png"
"1732707731-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-766156","Costume enfant","20 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_766149_uploaded_image1_1563699401.63.png"
"1732707738-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes","https://sn.coinafrique.com/annonce/vetements-enfants/robes-766924","Robes","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2772903_uploaded_image1_1605786106.jpg"
"1732707744-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes enfants","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-770101","Robes enfants","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png"
"1732707750-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Tee-shirt","https://sn.coinafrique.com/annonce/vetements-enfants/tee-shirt-772515","Tee-shirt","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735012_uploaded_image1_1604415011.jpg"
"1732707757-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-772900","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
"1732707763-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-772928","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"
"1732707770-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habillement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/habillement-enfant-772978","Habillement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg"
"1732707776-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-774803","Vêtements bébé","Prix sur demande","Médina, Dakar, Sénégal",""
"1732707783-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-774806","Vêtements bébé","Prix sur demande","Médina, Dakar, Sénégal",""
