type_clothes,price,adress,image_link
Robe,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg
Robe,15000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg
Djellaba,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg
Djellaba,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600864_uploaded_image1_1708347454.jpg
Djellaba,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg
Djellaba,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg
Vêtements,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg
Grenouillère,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg
Tenue,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg
Robes,15000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg
Ensemble,5000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg
Coffret,15000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg
Robe,9000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg
Grenouillère,3500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg
Pantalon,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg
Pantalon,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg
Pantalon,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604379_uploaded_image1_1708513648.jpg
Pantalon,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604378_uploaded_image1_1708513583.jpg
Blouson,8500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg
Robe,2000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4588746_uploaded_image1_1707650951.jpg
Vêtements,500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4585357_uploaded_image1_1707428281.jpg
Ensemble,4000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
Vêtement,8500,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571573_uploaded_image1_1706729137.jpg
Vêtement,8500,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571570_uploaded_image1_1706729054.jpg
Vêtement,10000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg
Djallaba,6000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4564575_uploaded_image1_1706303754.jpg
Vetements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
Ensemble,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Vetement,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg
Vêtements,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg
Blouson,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
Ensemble,5500,"Thies, Sénégal",https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg
Blouson,6000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
Pull,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
Pull,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522837_uploaded_image1_1704190481.jpg
Friperie,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
