type_clothes,price,address,image_link-src
Vêtements Enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Robe  enfant,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg
Pulls pour enfants,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1020573_uploaded_image1_1570128555.58.png
Robes  filles,10 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_1784678_uploaded_image1_1584029251.42.png
Blousons enfants,15 000 CFA,"M'bour, Sénégal",https://images.coinafrique.com/thumb_1181045_uploaded_image1_1573426145.72.png
Ensemble veste - enfant,17 500 CFA,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
Ensemble enfant,15 000 CFA,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
Vêtements enfant,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Complet enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2160093_uploaded_image1_1590213831.jpg
Habillement,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
Ensemble Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
Habillement,Prix sur demande,"Hann Bel-Air, Pikine, Sénégal",https://images.coinafrique.com/thumb_1213543_uploaded_image1_1574057323.17.png
Habits Enfants,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_4187195_uploaded_image1_1682250912.jpg
Vêtements enfant,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Habillement,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
ensemble enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Ensemble enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Vêtement enfant,10 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Vêtements,Prix sur demande,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Vêtements Enfants,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
Vêtements enfant,3 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
Vêtements enfants,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
Blouson pour enfant,14 000 CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg
Vêtements Enfants,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
Robe princesse,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3664445_uploaded_image2_1650586926.jpeg
Vêtements enfant,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
Robe  pour enfants,5 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Robe brodé et bazin,7 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2112935_uploaded_image1_1589474288.jpg
Ensemble enfant,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
