type_shoes,price,adress,image_link
Chaussures,1500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3704967_uploaded_image1_1653083833.jpg
Chaussures,10000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3672156_uploaded_image1_1651092639.jpg
Chaussures,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3699436_uploaded_image1_1652782683.jpg
Baskets,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3690626_uploaded_image1_1652255965.jpg
Chaussures,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3641537_uploaded_image1_1649258723.jpg
Chaussures,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673169_uploaded_image2_1651155111.jpeg
Chaussures,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673165_uploaded_image2_1651154980.jpeg
Chaussures,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673159_uploaded_image3_1651154872.jpeg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669958_uploaded_image3_1650975432.jpeg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669956_uploaded_image2_1650975375.jpeg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669952_uploaded_image1_1650975316.jpg
Chaussures,3500,"Thies, Sénégal",https://images.coinafrique.com/thumb_3641983_uploaded_image1_1649278750.jpg
Chaussures,7000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3641151_uploaded_image2_1649247824.jpeg
Ballerines,7000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3617411_uploaded_image1_1647863237.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3599487_uploaded_image1_1646755996.jpg
Chaussures,5000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3579013_uploaded_image1_1645581208.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3566813_uploaded_image1_1644828469.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3566810_uploaded_image1_1644828396.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544110_uploaded_image1_1643467157.jpg
Chaussures,2000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543253_uploaded_image1_1643397434.jpg
Chaussures,11000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3537500_uploaded_image1_1643045085.jpg
Pantoufles,4000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3533457_uploaded_image1_1642754956.jpg
Pantoufles,4000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3529128_uploaded_image1_1642500345.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3528221_uploaded_image1_1642431390.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3528219_uploaded_image1_1642431351.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526941_uploaded_image1_1642346098.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526938_uploaded_image1_1642345964.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526935_uploaded_image1_1642345866.jpg
Chaussures,10000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg
Baskets,15000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3496189_uploaded_image2_1640319435.jpeg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3495835_uploaded_image1_1640284287.jpg
Chaussures,12000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3495410_uploaded_image1_1640264833.jpg
Souliers,15000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3486610_uploaded_image1_1639656374.jpg
Sandales,1000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3481315_uploaded_image1_1639352929.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3475296_uploaded_image1_1638981582.jpg
Ballerines,10000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3468451_uploaded_image1_1638628031.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3462501_uploaded_image1_1638375325.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3462499_uploaded_image1_1638375239.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3462497_uploaded_image1_1638375172.jpg
Chaussettes,9000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3451771_uploaded_image1_1637718423.jpg
Chaussures,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3432590_uploaded_image2_1636625019.jpeg
Chaussures,4500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3429468_uploaded_image1_1636466917.jpg
Baskets,Prixsurdemande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3429274_uploaded_image1_1636462416.jpg
Sandales,2000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3415129_uploaded_image1_1635810651.jpg
Chaussures,2000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3415124_uploaded_image1_1635810270.jpg
Sandales,1500,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3401227_uploaded_image1_1635079924.jpg
Sandales,1500,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3401225_uploaded_image1_1635079810.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3400235_uploaded_image1_1634998926.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3400230_uploaded_image1_1634998844.jpg
Baskets,14000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3398164_uploaded_image1_1634895995.jpg
Chaussures,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3391943_uploaded_image1_1634574064.jpg
Chaussures,6500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3378261_uploaded_image1_1633851365.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3372302_uploaded_image1_1633544921.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3372289_uploaded_image1_1633544246.jpg
Chaussures,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3370357_uploaded_image1_1633470461.jpg
Chaussures,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3370124_uploaded_image1_1633461260.jpg
Chaussures,6000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365662_uploaded_image1_1633268172.jpg
Mocassins,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Chaussures,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3349497_uploaded_image1_1632394857.jpg
Chaussures,5000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg
Chaussures,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3331774_uploaded_image2_1631522808.jpeg
Baskets,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3327812_uploaded_image1_1631278298.jpg
Sandales,Prixsurdemande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3326737_uploaded_image1_1631219825.jpg
Mocassins,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg
Baskets,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3316031_uploaded_image1_1630757466.jpg
Chaussures,13500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3312395_uploaded_image1_1630601772.jpg
Chaussures,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3305453_uploaded_image2_1630348767.jpeg
Chaussures,13500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3288174_uploaded_image1_1629374418.jpg
Chaussures,13500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3288168_uploaded_image1_1629374275.jpg
Chaussures,13500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3288165_uploaded_image1_1629374192.jpg
Chaussures,3000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3267690_uploaded_image1_1628334320.jpg
Chaussures,12500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3252340_uploaded_image1_1627653888.jpg
Chaussures,15000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247099_uploaded_image1_1627387079.jpg
Babouches,7000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3231496_uploaded_image1_1626390253.jpg
Chaussures,10000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3227293_uploaded_image1_1626223659.jpg
Chaussures,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3224546_uploaded_image1_1626108022.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3219248_uploaded_image1_1625842846.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3219232_uploaded_image1_1625842643.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3219227_uploaded_image1_1625842539.jpg
Chaussures,10000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3217628_uploaded_image1_1625766871.jpg
