type_clothes,price,adress,image_link
Calçon,12000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903885_uploaded_image1_1724192093.jpg
Ensemble,45000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903887_uploaded_image1_1724192139.jpg
Pantalon,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900571_uploaded_image1_1724018690.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919054_uploaded_image1_1725058804.jpg
Lacoste,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919051_uploaded_image1_1725058688.jpg
T-shirt,3500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903884_uploaded_image1_1724191962.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900567_uploaded_image1_1724018548.jpg
Vetement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914414_uploaded_image1_1724798637.jpg
Lacoste,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914408_uploaded_image1_1724798529.jpg
Chaussures,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900562_uploaded_image1_1724018184.jpg
Vetement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900561_uploaded_image1_1724018099.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903873_uploaded_image1_1724191602.jpg
Lacoste,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914417_uploaded_image1_1724798759.jpg
Pantalon,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914396_uploaded_image1_1724798302.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919047_uploaded_image1_1725058538.jpg
T-shirt,3500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924144_uploaded_image1_1725318429.jpg
T-shirt,4500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924145_uploaded_image1_1725318476.jpg
Culotte,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924148_uploaded_image1_1725318526.jpg
Ensemble,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919049_uploaded_image1_1725058598.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924142_uploaded_image1_1725318386.jpg
Surper,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914398_uploaded_image1_1724798379.jpg
Ensemble,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914386_uploaded_image1_1724798118.jpg
Pantalon,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900553_uploaded_image1_1724017674.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914380_uploaded_image1_1724798050.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4914374_uploaded_image1_1724797972.jpg
Lacoste,6500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900557_uploaded_image1_1724017882.jpg
Ensemble,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919039_uploaded_image1_1725058279.jpg
Pantalon,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4900530_uploaded_image1_1724016969.jpg
