type_shoes,price,address,image_link-src
Baskets Jordan,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4203569_uploaded_image1_1683283931.jpg
Chaussures,,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4874373_uploaded_image1_1722641400.jpg
Baskets homme,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986975_uploaded_image1_1728568504.jpg
Tapettes Gucci,,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2335028_uploaded_image1_1592938171.jpg
Chaussures homme,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026875_uploaded_image1_1730750195.jpg
Chaussures Nike 95,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2335382_uploaded_image1_1592942926.jpg
Chaussures Jordan,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4553552_uploaded_image1_1705672902.jpg
Chaussures Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774426_uploaded_image1_1717266824.jpg
Chaussures All star,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Chaussures Reebok classiques,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4749757_uploaded_image1_1715997855.jpg
Chaussures Reebok,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4749757_uploaded_image1_1715997855.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Sandales homme,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3913380_uploaded_image1_1665357776.jpg
Chaussures Sebago,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Baskets,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
