type_shoes,price,adress,image_link
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997580_uploaded_image1_1729110631.jpg
Baskets,45000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997538_uploaded_image1_1729108653.jpg
Chaussures,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996748_uploaded_image2_1729083177.jpeg
Chaussures,25000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996689_uploaded_image1_1729081529.jpg
Baskets,6000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4994331_uploaded_image1_1728979413.jpg
Chaussures,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992137_uploaded_image1_1728862721.jpg
Chaussures,28000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4992133_uploaded_image1_1728862435.jpg
Baskets,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4992131_uploaded_image1_1728862310.jpg
Chaussures,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4990852_uploaded_image1_1728776059.jpg
Chaussures,25000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4990613_uploaded_image1_1728762418.jpg
Chaussures,30000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4989952_uploaded_image1_1728732678.jpg
Chaussures,22000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4988500_uploaded_image1_1728648700.jpg
Mocassins,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4988257_uploaded_image1_1728640031.jpg
Chaussures,15000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4987718_uploaded_image1_1728600279.jpg
Baskets,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4987482_uploaded_image1_1728589310.jpg
Chaussures,3500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986975_uploaded_image1_1728568504.jpg
Mocassins,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986477_uploaded_image1_1728552713.jpg
Sandales,15000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986015_uploaded_image1_1728527053.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4985654_uploaded_image1_1728506967.jpg
Crocs,15000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4985495_uploaded_image1_1728502686.jpg
Claquettes,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4985154_uploaded_image1_1728489228.jpg
Chaussures,35000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4984872_uploaded_image1_1728480903.jpg
Baskets,25000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4983389_uploaded_image1_1728406729.jpg
Baskets,15000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4982916_uploaded_image1_1728392811.jpg
Chaussure,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4982698_uploaded_image1_1728385862.jpg
Chaussures,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4982686_uploaded_image1_1728385451.jpg
Chaussures,32000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4982679_uploaded_image1_1728385118.jpg
Chaussures,15600,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4982051_uploaded_image1_1728346387.jpg
Baskets,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4981775_uploaded_image1_1728333662.jpg
Chaussures,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4981539_uploaded_image1_1728321968.jpg
Baskets,23000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4981453_uploaded_image1_1728317927.jpg
Chaussures,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4980037_uploaded_image1_1728234420.jpg
Chaussures,25000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934880_uploaded_image1_1725869021.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979364_uploaded_image1_1728178405.jpg
Baskets,25000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979032_uploaded_image1_1728155699.jpg
Baskets,25000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979030_uploaded_image1_1728155462.jpg
Baskets,25000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979020_uploaded_image2_1728155183.jpeg
Baskets,15000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979006_uploaded_image1_1728154518.jpg
Baskets,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977275_uploaded_image1_1728055084.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977267_uploaded_image1_1728054967.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977259_uploaded_image1_1728054862.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977253_uploaded_image1_1728054749.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977249_uploaded_image1_1728054632.jpg
Chaussures,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4976144_uploaded_image1_1728002664.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4974016_uploaded_image1_1727924409.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4973154_uploaded_image1_1727887242.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4971465_uploaded_image1_1727817450.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4971011_uploaded_image1_1727802082.jpg
Chaussures,15000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4970176_uploaded_image1_1727781060.jpg
Chaussures,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970088_uploaded_image1_1727778322.jpg
Chaussures,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4969844_uploaded_image1_1727771604.jpg
Mocassins,11000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969150_uploaded_image3_1727725266.jpeg
Chaussures,25000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4922476_uploaded_image1_1725267292.jpg
Chaussures,18000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967207_uploaded_image2_1727622657.jpeg
Sabots,13000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967175_uploaded_image3_1727621292.jpeg
Baskets,25000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4965599_uploaded_image1_1727485372.jpg
Baskets,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4963799_uploaded_image1_1727380149.jpg
Chaussures,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4962490_uploaded_image1_1727309675.jpg
Baskets,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961177_uploaded_image1_1727260953.jpg
Baskets,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961175_uploaded_image1_1727260886.jpg
Chaussures,Prixsurdemande,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4958311_uploaded_image1_1727115890.jpg
Baskets,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4958017_uploaded_image1_1727105850.jpg
Chaussures,25000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957465_uploaded_image1_1727089891.jpg
Sandales,7000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4956296_uploaded_image1_1727018894.jpg
Chaussures,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4955436_uploaded_image1_1726952475.jpg
Baskets,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4955206_uploaded_image1_1726938483.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4955143_uploaded_image1_1726936250.jpg
Baskets,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4955135_uploaded_image1_1726935874.jpg
Sneakers,35000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953912_uploaded_image1_1726854193.jpg
Baskets,35000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953900_uploaded_image1_1726853475.jpg
Sandale,7000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4950647_uploaded_image2_1726681768.jpeg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4948575_uploaded_image2_1726585771.jpeg
Chaussures,20000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4948339_uploaded_image1_1726577784.jpg
Chaussures,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935748_uploaded_image1_1725901608.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935760_uploaded_image1_1725901770.jpg
Chaussures,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4935757_uploaded_image1_1725901736.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946898_uploaded_image1_1726500428.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946896_uploaded_image1_1726500354.jpg
Chaussures,14000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946887_uploaded_image1_1726500045.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946884_uploaded_image1_1726499988.jpg
Chaussures,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942740_uploaded_image1_1726229116.jpg
Chaussures,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942712_uploaded_image1_1726228654.jpg
Chaussures,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942691_uploaded_image1_1726228335.jpg
Chaussures,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942693_uploaded_image1_1726228400.jpg
Chaussures,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942702_uploaded_image1_1726228538.jpg
Chaussures,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942700_uploaded_image1_1726228510.jpg
Chaussures,16000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942698_uploaded_image1_1726228468.jpg
Chaussures,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4902274_uploaded_image1_1724109825.jpg
Chaussures,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924201_uploaded_image1_1725320144.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4924195_uploaded_image1_1725320053.jpg
Chaussures,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4919080_uploaded_image1_1725059766.jpg
