web-scraper-order,web-scraper-start-url,chaussures_enfants,chaussures_enfants-href,type_shoes,price,address,image_link-src
"1732738492-51","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Claquettes enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-894267","Claquettes enfant","8 000 CFA","Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1732738498-52","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-894314","Chaussures enfants","10 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738505-53","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures Enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-902724","Chaussures Enfants","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738511-54","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Baskets","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-902727","Baskets","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg"
"1732738518-55","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905353","Chaussures pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738524-56","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905360","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738531-57","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905363","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738538-58","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905365","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738544-59","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905367","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
"1732738551-60","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905369","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg"
