type_shoes,price,address,image_link-src
Chaussures pour enfant,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Baskets Nike,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526935_uploaded_image1_1642345866.jpg
Chaussures Jordan 11,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2934921_uploaded_image1_1612567043.jpg
Chaussures nourrissons,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2942148_uploaded_image1_1612894020.jpg
Chaussures  enfants,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Bottes montantes enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2942252_uploaded_image1_1612898624.jpg
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Claquettes enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2972548_uploaded_image1_1614340301.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussure enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Mocassin enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg
Chaussures enfant friperie,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg
Baskets Jordan enfants,,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3085703_uploaded_image1_1619658542.jpg
